Doc,Obls,Score,Rank
Vistas,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5]], 'opposite': []}",1.0
3 from 2 (1),"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5]], 'opposite': []}",1.0,1
6 from 3,"{'unmatchedList1': [], 'unmatchedList2': [6], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5]], 'opposite': []}",0.8571428571428571,2
8 from 3,"{'unmatchedList1': [], 'unmatchedList2': [6], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5]], 'opposite': []}",0.8571428571428571,2
Northview,"{'unmatchedList1': [1, 3], 'unmatchedList2': [4, 5], 'identical': [[0, 0], [2, 1], [4, 2], [5, 3]], 'opposite': []}",0.5,3
Global Blockchain,"{'unmatchedList1': [1, 3], 'unmatchedList2': [1, 5, 6], 'identical': [[0, 0], [2, 2], [4, 3], [5, 4]], 'opposite': []}",0.4444444444444444,4
Atlantic Street,"{'unmatchedList1': [1, 2, 3, 4], 'unmatchedList2': [1, 2, 4], 'identical': [[0, 0], [5, 3]], 'opposite': []}",0.2222222222222222,5
Sportsmap,"{'unmatchedList1': [2, 3, 4, 5], 'unmatchedList2': [2, 3, 4, 5, 6], 'identical': [[0, 0], [1, 1]], 'opposite': []}",0.18181818181818182,6
Distoken,"{'unmatchedList1': [1, 2, 3, 4, 5], 'unmatchedList2': [1, 2, 3], 'identical': [[0, 0]], 'opposite': []}",0.1111111111111111,7
2 from 2,"{'unmatchedList1': [1, 2, 3, 4, 5], 'unmatchedList2': [1, 2, 3, 4], 'identical': [[0, 0]], 'opposite': []}",0.1,8
Growth Capital,"{'unmatchedList1': [1, 2, 3, 4, 5], 'unmatchedList2': [1, 2, 3, 4, 5], 'identical': [[0, 0]], 'opposite': []}",0.09090909090909091,9
